Sector_ID,Case_count_2007,Case_count_2008,Case_count_2009,Case_count_2010,Case_count_2011,Case_count_2012,Case_count_2013,Case_count_2014,Case_count_2015,Case_count_2016,Case_count_2017,Case_count_2018,Case_count_2019,Case_count_2020
CO370,0,0,8,0,2,0,2,2,0,2,0,0,0,28
CO371,0,0,0,6,0,0,99,1,0,0,0,0,2,34
CO372,0,0,6,2,0,0,43,0,0,2,0,0,0,16
CO373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO374,0,2,0,2,0,0,0,0,0,0,0,0,0,2
CO375,0,0,0,0,0,0,0,2,5,0,0,0,0,3
CO376,0,0,0,0,0,3,0,0,0,0,0,0,0,3
CO377,4,0,0,0,0,1,0,0,0,3,0,0,0,6
CO378,0,0,0,1,0,0,0,0,2,2,0,0,0,2
CO379,4,0,0,0,0,0,1,1,0,2,0,0,0,5
CO380,0,4,0,0,0,0,1,0,39,5,0,0,0,18
CO382,0,0,0,0,0,0,0,0,0,0,0,0,0,4
CO384,0,0,0,0,0,0,3,0,0,2,0,0,0,0
CO385,0,0,0,0,0,2,0,0,0,2,0,0,3,4
CO386,0,0,2,0,0,0,7,13,1,0,0,2,1,0
CO387,0,0,0,0,0,0,0,7,3,0,5,0,1,0
CO388,0,0,21,2,0,0,1,0,14,0,4,0,2,23
CO389,0,0,0,0,0,0,0,0,0,0,0,0,4,6
CO390,0,0,2,0,0,0,3,0,0,2,0,0,3,4
CO391,0,0,0,0,0,0,0,5,0,2,0,0,0,0
CO392,0,2,21,0,0,0,1,3,4,1,0,0,3,0
CO393,4,0,6,2,0,0,0,0,0,33,0,0,26,4
CO394,8,0,23,4,0,4,2,0,4,0,0,0,4,6
CO395,4,11,0,0,2,0,0,3,0,0,0,0,0,15
CO396,0,2,0,0,0,0,0,1,0,6,0,0,0,101
CO397,0,0,0,0,0,0,0,4,0,0,0,0,3,0
CO398,0,0,0,0,0,0,2,0,2,4,0,3,0,0
CO399,0,0,0,0,0,4,1,0,0,3,0,0,0,0
CO400,0,0,0,0,0,4,7,6,1,8,0,0,5,121
CO401,0,0,0,0,0,0,0,0,0,0,0,0,5,0
CO402,0,0,0,0,0,0,3,0,0,0,0,0,0,0
CO403,0,0,0,0,0,0,16,0,0,6,0,0,0,56
CO404,2,2,0,0,0,0,49,1,5,6,0,0,5,117
CO405,0,0,0,0,0,0,0,0,0,0,0,0,2,4
CO406,4,0,0,0,0,0,0,0,6,6,0,2,0,8
CO407,2,1,0,0,0,2,12,0,2,81,0,0,2,6
CO408,0,0,0,0,2,0,1,0,3,0,0,18,43,0
CO409,0,0,0,0,0,0,25,23,8,8,0,0,0,0
CO410,2,12,8,0,4,2,2,1,1,17,0,0,17,137
CO411,0,0,0,2,0,0,0,0,0,0,0,1,22,0
CO412,0,0,0,0,0,0,0,0,2,6,0,0,0,16
CO414,0,1,0,0,2,0,1,4,5,2,0,0,0,7
CO415,0,0,0,0,0,0,0,0,0,41,0,0,3,3
CO416,0,0,3,0,0,0,0,0,0,4,0,0,20,6
CO417,0,3,0,0,0,0,21,15,4,4,0,0,0,2
CO419,0,5,1,0,0,0,3,9,7,0,2,2,4,20
CO421,0,0,0,0,0,0,0,0,0,0,0,0,4,0
CO422,0,0,0,4,0,0,7,0,0,40,0,0,0,0
CO423,4,0,0,0,0,0,0,0,0,2,0,0,0,1
CO425,0,0,0,0,0,0,0,1,0,2,0,0,9,3
CO427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO430,0,1,0,0,0,0,8,12,8,4,0,0,0,16
FL1,0,0,0,0,0,0,5,0,1,2,3,0,2,2
FL2,0,0,4,0,0,0,40,2,7,5,2,6,44,7
FL3,0,0,0,8,0,0,0,0,0,0,0,3,190,4
FL4,0,0,0,0,2,3,7,2,0,0,0,0,0,11
FL6,2,0,0,0,4,0,21,16,25,88,1,0,2,7
FL7,0,2,0,0,0,0,6,2,1,1,1,2,6,7
FL8,0,0,0,4,0,0,1,4,0,0,1,0,0,13
FL9,0,0,3,0,0,0,1,2,2,5,0,0,6,6
FL10,0,0,0,9,0,2,8,4,16,4,4,0,35,12
FL11,2,0,6,0,0,4,12,1,6,2,0,0,2,12
